Project Name,Project Location,latitude,longitude,Environmental Indicators,Social Indicators,Governance Indicators,Total Score
Evergreen Packaging Geothermal,"Haywood County, NC",35.624394,-82.993161,75,72,70,72.3
Busy Bee's Biomass,"Rolla, MO",37.948544,-91.77153,85,80,82,82.3
Gobnob Wind Turbine Project,"Farmersville, IL",39.4433853,-89.651762,80,75,78,77.7
Dayton Tech Town Geothermal,"Dayton, OH",39.7658734,-84.180929,75,78,72,75
Casselman Wind Power Project,"Traverses Summit, Black, and Addison, PA",41.2033216,-77.194525,70,75,70,71.7
Washington County Rubble Geothermal,"Williamsport, MD",39.6006523,-77.820551,78,80,75,77.7
Former Ellicott City Solar,"Ellicott City, MD",39.2673283,-76.798307,82,78,85,81.7
Coventry Solar,"Coventry, VT",44.8664911,-72.267299,75,70,75,73.3
Rutland Biomass,"Rutland, VT",43.6106237,-72.972607,80,75,78,77.7
Williamson Geothermal,"Williamson, NY",43.2239229,-77.186128,85,82,80,82.3
Bethlehem Steel Winds I,"Hamburg / Lackawanna, NY",42.7158927,-78.829477,78,75,80,77.7
Tech City Solar,"Ulster, NY",41.9684781,-74.000775,75,72,70,72.3
Huntington Avenue Biomass,"Metheun, MA",42.743169,-71.174827,80,75,78,77.7
Eastham Solar,"Eastham, MA",41.8565388,-69.987049,82,78,85,81.7
Theophilus Smith Road Biomass,"Dennis, MA",41.692604,-70.147105,75,78,72,75
Massachusetts Military Reservation (Otis) Biomass,"Sagamore, MA",41.7804907,-70.535438,85,80,82,82.3
